e1576d,492a3e,aeccd7,de5370,e1325e,50abbb,664b04,bc9a1c,869339,2ead2a,746b4d,a9ad30,d84e64,e9d3e4,93b7ec,78eced,3351b4,773ae4,601605,ab9ebf,f996b8
0.9977175739192415,0.9979095202657156,0.9982361515521947,0.9983266089915837,0.9982336456975079,0.9978942901965009,0.9980223568981277,0.9977877911021421,0.9977274713489731,0.9983385150737262,0.9984120700811848,0.9977964579348377,0.9979108126199385,0.9976243014735566,0.9977059319138627,0.997473553689555,0.9982113127355067,0.99622178389046,0.9979157206577546,0.9978864694627052,0.9973091716567037
0.9976622487757305,0.9990678258054727,0.9986473913474732,0.9991097820795382,0.9994075457886255,0.9994187492643979,0.9989547468103579,0.9990313984088804,0.9986958907975608,0.9980163685010497,0.9993426140494298,0.9990987426505767,0.9995264069242463,0.9991425395206162,0.9991196280279825,0.9991754776450363,0.9994205992257641,0.9993974121723035,0.9992985893900508,0.9995184543722009,0.9979820657656727
0.9981937960374114,0.9988913041052291,0.9985308262277982,0.9990489037242195,0.9990129362455988,0.9984454536532885,0.9981213839814679,0.9974882130078742,0.9983892633915008,0.9983374250943187,0.9982597383039877,0.9975865451446982,0.9991900879953851,0.9987028472904556,0.9979853584912594,0.9980060094389118,0.9979308002969609,0.99839122888189,0.9969771186787469,0.9978212587751218,0.9984744317740344
0.99971795712935,0.9988607756153146,0.9982118226342743,0.9990161077835016,0.9983309308538761,0.9988158907356546,0.9995262036123194,0.9987841067694808,0.9991773565275079,0.9981517214067022,0.999405492772189,0.996268229070098,0.9984920627193389,0.9992252919906062,0.996075309921781,0.9972793229183908,0.9983302287815159,0.9995238111071225,0.998288693209158,0.9994710862089956,0.9977211486197936
0.9956179201421534,0.9988520480797962,0.9993026004081466,0.9994075563582411,0.9992180016574458,0.9986276188627765,0.9993881108040154,0.9981451949172134,0.9985484560472471,0.998967970981045,0.9983394570399213,0.9987731312396543,0.9970474752832633,0.9987816772270153,0.9990664087445342,0.9991672958923512,0.9991668400910293,0.9989451708307094,0.9969382550191337,0.9993729866574206,0.9992003507089067
0.9991588244710604,0.9991315581833503,0.9978138805755522,0.9989282278470475,0.9980307691046452,0.9992311542650338,0.9977005337442616,0.9987520648963609,0.9991108026153919,0.9974443228590534,0.9992115214930629,0.998963268904,0.9992996531726853,0.9979496841875943,0.9990962631896295,0.9991779023013277,0.9977639680081521,0.9952613397229658,0.999385074727003,0.9987777896000551,0.998780508791745
0.9954960928564495,0.9994102452068028,0.9989509025472678,0.9987954621495317,0.9988413403578322,0.9964082280264727,0.9983067461545663,0.9971132624092632,0.9986932901443278,0.9987492179943814,0.9987926091393503,0.9965757105813614,0.9978927103796537,0.9979391007000444,0.9990463785465202,0.997585563765806,0.994418234944739,0.9977462514426192,0.999107071056347,0.9981702535437771,0.9985117388654716
0.998822285881901,0.9991837147827606,0.9990444771509897,0.9977490309207688,0.9972933880566195,0.9990959150908354,0.9970692474065912,0.9976825784809097,0.9991667122234511,0.9982372131234016,0.9989125228750337,0.9981213318266854,0.9949384310374032,0.9954268094682048,0.9975495358401262,0.9992509750962247,0.9974903606986287,0.9979845822931361,0.9976043833976123,0.994800001074924,0.9957632115920304
0.9965373237262685,0.9967980531600357,0.9980324961148411,0.9989149289458927,0.9986667621900871,0.9985428709913711,0.9988792338789708,0.9984514224185744,0.9988967365464572,0.9988752429083751,0.9974240939471538,0.9979319639533611,0.9976861473273935,0.9977505062854611,0.998099187098333,0.9980516513694078,0.9984571060147729,0.9984840484182975,0.9980766287095495,0.9986600938155903,0.9970408307190128
0.9996798409815171,0.9993157604080395,0.9973638107348655,0.998681188462656,0.9992264100207424,0.9994288165247738,0.9997420935620451,0.9976616564634183,0.9948250714841468,0.9986639669540516,0.9986346552346235,0.9988445234682475,0.9989863256296904,0.9992808082330995,0.9989088388711514,0.9972103755483155,0.9992371530153692,0.9991742199574701,0.9976621650989238,0.9989416497769965,0.991668633501643
