run,trace,timeslot,admission_ms
6,ibg-experiment-20260721T170639Z-run006.jsonl,11,8134.286018
6,ibg-experiment-20260721T170639Z-run006.jsonl,12,8362.68022
6,ibg-experiment-20260721T170639Z-run006.jsonl,13,8405.790863
6,ibg-experiment-20260721T170639Z-run006.jsonl,14,8183.362289
6,ibg-experiment-20260721T170639Z-run006.jsonl,15,8304.661975
6,ibg-experiment-20260721T170639Z-run006.jsonl,16,8212.213698
6,ibg-experiment-20260721T170639Z-run006.jsonl,17,8111.282319
6,ibg-experiment-20260721T170639Z-run006.jsonl,18,8352.710709
6,ibg-experiment-20260721T170639Z-run006.jsonl,19,8223.397313
7,ibg-experiment-20260721T170929Z-run007.jsonl,1,7834.027451
7,ibg-experiment-20260721T170929Z-run007.jsonl,2,8160.72388
7,ibg-experiment-20260721T170929Z-run007.jsonl,3,8041.316443
7,ibg-experiment-20260721T170929Z-run007.jsonl,4,8139.902855
7,ibg-experiment-20260721T170929Z-run007.jsonl,5,8064.093848
7,ibg-experiment-20260721T170929Z-run007.jsonl,6,7895.874609
7,ibg-experiment-20260721T170929Z-run007.jsonl,7,7933.576073
7,ibg-experiment-20260721T170929Z-run007.jsonl,8,8173.491488
7,ibg-experiment-20260721T170929Z-run007.jsonl,9,8156.390046
7,ibg-experiment-20260721T170929Z-run007.jsonl,10,7933.633158
7,ibg-experiment-20260721T170929Z-run007.jsonl,11,7968.83437
7,ibg-experiment-20260721T170929Z-run007.jsonl,12,8085.247151
7,ibg-experiment-20260721T170929Z-run007.jsonl,13,8163.560066
7,ibg-experiment-20260721T170929Z-run007.jsonl,14,8119.399122
8,ibg-experiment-20260721T171133Z-run008.jsonl,1,8127.662465
8,ibg-experiment-20260721T171133Z-run008.jsonl,2,8067.329416
8,ibg-experiment-20260721T171133Z-run008.jsonl,3,8095.863133
8,ibg-experiment-20260721T171133Z-run008.jsonl,4,7964.488387
8,ibg-experiment-20260721T171133Z-run008.jsonl,5,7934.471048
8,ibg-experiment-20260721T171133Z-run008.jsonl,6,8120.568999
8,ibg-experiment-20260721T171133Z-run008.jsonl,7,8140.05516
